# DSP4 per-function cost model - measured on the part, chip 1, 2026-08-28.
#
# EVERY FIGURE IN THIS FILE CARRIES ITS BLOCK SIZE. The 2026-08-28 PW
# ruling made 8 the working operating point; the file that this replaces
# was entirely block-32 and did not say so, because until today nothing
# in the tree could be built at another block size.
#
# METHOD: sigprofile.sh - TCOUNT/_proc_cyc, DSP4_NODE_LIMIT prefix cut,
# DEC=32, DSP4_BLOCK_KERNELS=1, DSP4_STRIP_FUSED=0, DSP4_PROFILE_SIGNAL=1.
# A class costs the difference between two consecutive limits. Every point
# is witnessed (strip 1's GAIN coefficient must read 1.0f) because roughly
# one boot in three lands the CFG_COMMIT header word there and then reports
# the SILENCE cost with everything else reading clean.
#
# SIGNAL-PRESENT throughout: a full-rate +/-0.5 (-6 dBFS) square wave in
# every retained strip's IN kernel. Silence measures GATE and COMP on
# their cheap branch and understates a strip by ~29%.
#
# THE INSTRUMENT IS CALIBRATED. Today's BLOCK=32 control, taken on today's
# tree with the same script, puts the strip at 39,470 cycles/block against
# the 39,417 the 08-28 morning session recorded - 0.1% apart. So the
# block-8 column below is comparable to the block-32 column, and the two
# together are a two-point fit of the same code at two block sizes.
#
# Budget: 786.432 MHz / 6000 blocks/s = 131,072 cycles/block;
#         983.04  MHz / 6000 blocks/s = 163,840 cycles/block.  8 samples.
# (At block 32 those were 524,288 and 655,360 over 1500 blocks/s.)
#
# RETRACTED AND REPLACED 2026-08-28 (fourth session). This file previously
# said the strip costs 2.21x more per sample at block 8 than at block 32,
# that 15,856 cycles/block of it is block-INVARIANT (73% of the strip at
# block 8) and that 85% of that invariant is COMP alone. All of it came
# from ONE DEFECT: `lcntr = 31` in the generator's compressor block kernel,
# a literal that survived the block-size parameterisation and made COMP run
# 32 samples of an 8-sample block. A node doing the same 32 samples of work
# whatever the block size measures as block-invariant because it IS.
#
# Corrected and re-measured on the same instrument: COMP is 3,465
# cycles/block at block 8 = 433.1 cycles/sample against 426.1 at block 32,
# the strip is 11,726 cycles/block (second reading 11,859, 1.1% apart), and
# the block-8 penalty is 1.19x per sample, not 2.21x. The ceilings roughly
# double. The largest remaining block-invariant item in the strip is RTG.
function,blk32_cycles_block,blk8_cycles_block,blk32_cycles_sample,blk8_cycles_sample,notes
GAIN,566,183,17.7,22.9,one MAC; the rest is the round/saturate and the two block stores its consumers need. Includes its METER at block 8 (the meter now rides with its source)
FILT,3946,1095,123.3,136.9,HPF+LPF; 2 biquad stages; almost all per-sample work
EQ+GATE,,4201,,525.1,taken together: the EQ point (limit 4) lost its witness three times to the link fault. 4201 against 4204 for EQ 2126 + GATE 2078 measured 2026-08-28 - 0.07% apart which is why the two are carried at their earlier split
COMP,13635,3465,426.1,433.1,**RE-MEASURED 2026-08-28 (fourth session) AND IT IS NOT BLOCK-INVARIANT.** The 13870 previously recorded at block 8 was a defect: `lcntr = 31` in the generator ran 32 samples of an 8-sample block. Corrected it is 3465 cycles/block = 433.1 cycles/sample against 426.1 at block 32 - 1.6% apart. Confirmed independently by the paired-dynamics self-test scalar arm at 420.0 cycles/sample/channel
TUBE,~0,93,~0,11.6,MEASURED BYPASSED (_tube_on defaults 0). ACTIVE cost still not measured - open since 08-24
DLY,1985,505,62.0,63.1,delay line. TUBE's scatter lands on this difference; read TUBE+DLY together as 598 cycles/block at block 8
FDR,1195,323,37.3,40.4,
RTG,2263,1861,70.7,232.6,bus routing over the active-crosspoint list; substantially block-invariant, and with COMP corrected it is now the LARGEST block-invariant item in the strip
# --- per-channel total, MEASURED TWICE ---
STRIP_TOTAL,39470,11726,1233.4,1465.8,GAIN..RTG inclusive, limits 1->10. The SECOND strip (limits 10->20) reads 11859 - 1.1% apart, which is two independent readings of the same quantity. Block 8 costs 1.19x block 32 per sample, NOT the 2.21x recorded before the COMP loop count was fixed
# --- SIMD PAIRED (DSP4_SIMD_DYN=1, pair-ordered chain) ---
# KERNEL factors, re-measured at block 8 with a diff that can now fail:
# COMP 2.07x (420.0 -> 202.5 cycles/sample/channel), GATE 2.43x (255.0 -> 105.0).
# GRAPH factors, measured by consecutive differences on the PAIR-ORDERED
# chain (DSP4_NODE_LIMIT counts pair-order positions in that build; 8 = both
# heads, 9 = + the GATE pair, 10 = + the COMP pair, 18 = the whole pair):
GATE_PAIR,,2284,,142.8,for TWO channels. Against 2 x 2078 = 4156 scalar: 1.82x in the graph where the kernel alone gives 2.43x
