num,item,runner,automation,class,requires_fixture,requires_press,requires_meter,spec_section
1,MIC 1,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
2,MIC 2,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only / A. Read from the CM4 (Linux)"
3,MIC 3,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
4,MIC 4,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
5,MIC 13,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
6,MIC 14,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
7,MIC 15,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
8,MIC 16,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
9,MIC 5,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
10,MIC 6,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
11,MIC 9,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
12,MIC 10,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
13,MIC 11,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
14,MIC 12,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
15,MIC 17,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
16,MIC 18,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
17,MIC 19,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
18,MIC 21,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
19,MIC 22,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
20,MIC 23,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only / 4a. LEDs and displays — an eye (28 rows)"
21,MIC 24,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
22,MIC 7,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
23,MIC 8,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
24,MIC 20,no runner,2+4,analog input,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
25,Aux Out A1 (doubles as Monitor 1),no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
26,Aux Out A2,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
27,Aux Out A3,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
28,Aux Out A4,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
29,Aux Out A5,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
30,Aux Out A6,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
31,Aux Out A7,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
32,Aux Out A8,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
33,Main Out L,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
34,Main Out R,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
35,Center/LF Out,no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
36,"Monitor Out L (TRS, unbalanced)",no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
37,"Monitor Out R (TRS, unbalanced)",no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
38,Talkback TB (XLR),no runner,2+4,analog input (codec path),the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
39,"Aux Out A 1-2 (TRS, Phone Jack sub-assembly)",no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
40,"Aux Out A 3-4 (TRS, Phone Jack sub-assembly)",no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
41,"Aux Out A 5-6 (TRS, Phone Jack sub-assembly)",no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
42,"Aux Out A 7-8 (TRS, Phone Jack sub-assembly)",no runner,2+4,analog output,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
43,MONO AUX (fw.csv MonoAux) button,no runner,3,panel switch,the operator at the left panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
44,MONO AUX (fw.csv MonoAux) button LEDs (white pair),no runner,4,panel LED,the operator at the left panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
45,STEREO AUX (fw.csv StereoAux) button,no runner,3,panel switch,the operator at the left panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
46,STEREO AUX (fw.csv StereoAux) button LEDs (white pair),no runner,4,panel LED,the operator at the left panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
47,FX (fw.csv Fx) button,no runner,3,panel switch,the operator at the left panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
48,FX (fw.csv Fx) button LEDs (white pair),no runner,4,panel LED,the operator at the left panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
49,EQ (fw.csv Eq) button,no runner,3,panel switch,the operator at the left panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
50,EQ (fw.csv Eq) button LEDs (white pair),no runner,4,panel LED,the operator at the left panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
51,AUX ON FADERS (fw.csv AuxOnFaders) button,no runner,3,panel switch,the operator at the left panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
52,AUX ON FADERS (fw.csv AuxOnFaders) button LEDs (white pair),no runner,4,panel LED,the operator at the left panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
53,OVERVIEW (fw.csv Overview) button,no runner,3,panel switch,the operator at the left panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
54,OVERVIEW (fw.csv Overview) button LEDs (white pair),no runner,4,panel LED,the operator at the left panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
55,"BOOT0 indicator LED (red, fw.csv BootLed)",no runner,4,panel LED,the operator at the left panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
58,Pedal UART through-path,no runner,2,panel control,the operator at the left panel; no fixture,no,no,"2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146)"
59,FX MUTE (fw.csv FxMute) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
60,FX MUTE (fw.csv FxMute) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
61,FX MUTE (fw.csv FxMute) red LEDs,no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
62,HOME (fw.csv Home) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
63,HOME (fw.csv Home) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
64,MENU (fw.csv Menu) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
65,MENU (fw.csv Menu) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
66,+48 (fw.csv Phantom48) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
67,+48 (fw.csv Phantom48) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
68,FEEDBACK (fw.csv Feedback) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
69,FEEDBACK (fw.csv Feedback) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
70,MUTE (fw.csv 'Nute' — typo) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
71,MUTE (fw.csv 'Nute' — typo) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
72,SCENE (fw.csv Scene) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
73,SCENE (fw.csv Scene) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
74,L (fw.csv L) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
75,L (fw.csv L) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
76,C (fw.csv C) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
77,C (fw.csv C) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
78,C (fw.csv C) red LED,no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
79,CH ASSIGN (fw.csv ChanAssign) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
80,CH ASSIGN (fw.csv ChanAssign) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
81,R (fw.csv R) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
82,R (fw.csv R) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
83,MONITOR (fw.csv Monitor) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
84,MONITOR (fw.csv Monitor) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
