# fit-table.csv — does each product of the range fit the silicon.
#
# GENERATED by tools/dsp/product_fit.py (S28 gate 1). Do not hand-edit.
#
# ONE FIRMWARE, THREE WORDS (decision D3). Every row below is the SAME
# image — the superset graph of MW/D32/DSP/SHARC/dsp.csv, built from
# shipping.config.s26 as chip1 6396187c / chip2 9222c2ee — with a
# different CFG_PRODUCT_ID, CFG_CHAN_MASK and CFG_AUX_MASK. `cells_*`
# come from the product's own mx-master, expanded by
# defs/tools/expand_matrix.py and intersected with the graph by
# MW/D32/DSP/gen_dsp.py --propose.
#
# chip{1,2}_built_pct is the CONSTRUCTION: chip 1 fit against the
# channel count, chip 2 against the aux count, on EACH ROW'S OWN
# anchor set (`ROW_ANCHOR` in product_fit.py). RE-ANCHORED at hub
# ruling S81-Q1(a), 2026-09-20 (MW/D24/DSP/s80/cfg3-rows-dark.md §7):
# rows A and B now fit ALL FOUR products' S80 silent rows; row C
# fits D16/D24/D32 only (D12's driven regime never proved, S80
# report §4.2/§4.4, so D12's C is an EXTRAPOLATION below the
# smallest anchor, flagged in `source`); row D (driven, FX off) has
# no S80 measurement at all and keeps its original S27 anchors
# (d24/d32, 2026-09-10) -- STALE, and `source` says so. The old
# FX-engine correction term is retired (see `_fx_slope_RETIRED` in
# product_fit.py): every re-anchored row now spans real FX-engine
# counts on real measured data, so a separate term would double it.
# `source` on every row names which session/date it was built or
# measured against. chip{1,2}_avg_pct and _worst_pct are MEASURED
# where source says so. `fits` is against the WORST BLOCK.
#
# row A silent/default | B silent/load | D driven, FX off |
# C driven, the product's FX load. C is the row a product ships
# against.
#
# REGENERATE WITH THE MEASURED ROWS, or they are lost (S32): the
# measured product rows come from --measured, and running this script
# without it silently replaces them with the construction. S28 passed
# a JSON that was never committed; it is committed now, recovered
# from this table, so the file regenerates from the repo alone:
#   python3 tools/dsp/product_fit.py \
#       --measured MW/D32/DSP/fit-measured.json \
#       --csv MW/D32/DSP/fit-table.csv
#
# Rows tagged @s32 are WINDOW CANDIDATE B: the same
# products, cells and masks, built from shipping.config.s32 —
# shipping.config.s26 plus one effective line, DSP4_AUXIN_BYPASS=1
# (chip1 6396187c, the SAME BYTES as candidate A; chip2 df5cc181).
# A separate family so that no product row above is replaced by a
# figure taken on an image the window has not signed. Measured
# 2026-09-11, both candidates on one night, two boots a row an arm.
# The C and D rows of candidate B ran a PARTIAL driven regime —
# identically in both arms — because the driveall bitstream needs a
# CPLD reflash that session was forbidden; rows A and B are
# stimulus-stopped and are the comparable ones, and row B is the row
# that decides D32's fit. Supersedes S32's four @s32-lead rows.
# See MW/D32/DSP/dsp4-s33-20260911.md and window-candidate.md §5.
#
# THE FOURTH WORD (S79, CFG_MTX_MASK) POSTDATES SOME ROWS AND NOT
# OTHERS, and that line moved at S81-Q1(a): rows A/B/C are S80
# (2026-09-20), taken AFTER S79 landed CFG_MTX_MASK, so their
# nodes_run / nodes_gated_off match the percentages they sit beside.
# Row D (driven, FX off) is still S27 (2026-09-10, pre-S79) and IS
# pessimistic by the unmeasured margin the old note described: 10
# more node instances on a D24, 18 on a D16, 20 on a D12, none on a
# D32, all called but on their cheap branch. The @s32-lead rows
# below are S32 (2026-09-11), also pre-S79, same caveat. S79's own
# driven rows are in MW/D24/DSP/s79/bypass.md and are deliberately
# NOT merged here: they were taken on the S78-fixed driveall
# bitstream and a row taken on one stimulus is not comparable with
# a row taken on another (see loadlogic.sh).
#
# NOT IN THIS TABLE, and why — a fit table that lists four of the
# range's nine product folders without saying so is a table that
# looks complete and is not:
#   D32RACK: no definition yet — `defs/products/d32rack/` carries only an intake report, whose first line is "no generated master cell list — run the def pipeline first". There is no d32rack.csv and no gen/matrix/d32rack-mx-master.csv, so there is no cell count to generate and no fit to predict. HUB ITEM.
#   D32C: no definition yet — same as d32rack: intake report only, "no generated master cell list". HUB ITEM.
#   D32R: no definition yet — same as d32rack: intake report only, "no generated master cell list". HUB ITEM.
#   D64: above the platform line. 64 channels and 16 aux: decision D6 puts the SHARC DSP4 card at up to 32 ch @ 48 kHz and everything above it on the single-chip FPGA engine. The graph could not carry it either — NUM_CH is 32 and CFG_CHAN_MASK is one 32-bit word — so this is not a number this firmware has.
#   D128: above the platform line, as d64: 128 channels, 32 aux, LCR main. FPGA engine (see fpga/), not DSP4.
#
product,row,source,ch,aux,fx,product_id,chan_mask,aux_mask,mtx_mask,cells_defined,cells_addressed,cells_unmapped,nodes_run,nodes_gated_off,chip1_built_pct,chip1_avg_pct,chip1_worst_pct,chip2_built_pct,chip2_avg_pct,chip2_worst_pct,fits,note
d12,A_silent_default,"measured (anchor, S80 2026-09-20) [pre-S82 config 0xE2018264 — upper bound]",12,4,4,1,0x00000FFF,0x0000000F,0x00000000,2336,1792,544,341,360,30.66,32.44,32.54,68.79,71.07,71.33,yes,"silent, the config the product boots with"
d12,B_silent_load,"measured (anchor, S80 2026-09-20) [pre-S82 config 0xE2018264 — upper bound]",12,4,4,1,0x00000FFF,0x0000000F,0x00000000,2336,1792,544,341,360,40.24,43.67,43.98,73.78,76.03,76.33,yes,"silent, every assign/send open, dynamics at -60 dB"
d12,D_driven_fxoff,"construction (S27 anchors 2026-09-10 STALE, EXTRAPOLATED)",12,4,4,1,0x00000FFF,0x0000000F,0x00000000,2336,1792,544,341,360,31.25,31.25,31.01,48.09,48.09,48.22,yes,"driven, the FX engines OFF  (plain)"
d12,C_driven_load,"construction (S80 anchors 2026-09-20, EXTRAPOLATED)",12,4,4,1,0x00000FFF,0x0000000F,0x00000000,2336,1792,544,341,360,42.35,42.35,64.77,79.38,79.38,101.28,NO,"driven, every FX engine live at Type 3  (the load)"
d16,A_silent_default,"measured (anchor, S80 2026-09-20) [pre-S82 config 0xE2018264 — upper bound]",16,6,4,1,0x0000FFFF,0x0000003F,0x00000000,3318,2586,732,409,292,37.93,40.32,40.49,77.13,79.47,79.78,yes,"silent, the config the product boots with"
d16,B_silent_load,"measured (anchor, S80 2026-09-20) [pre-S82 config 0xE2018264 — upper bound]",16,6,4,1,0x0000FFFF,0x0000003F,0x00000000,3318,2586,732,409,292,51.66,55.88,56.12,84.04,87.73,88.08,yes,"silent, every assign/send open, dynamics at -60 dB"
d16,D_driven_fxoff,"construction (S27 anchors 2026-09-10 STALE, EXTRAPOLATED)",16,6,4,1,0x0000FFFF,0x0000003F,0x00000000,3318,2586,732,409,292,40.80,40.80,40.76,56.24,56.24,56.42,yes,"driven, the FX engines OFF  (plain)"
d16,C_driven_load,"measured (anchor, S80 2026-09-20) [pre-S82 config 0xE2018264 — upper bound]",16,6,4,1,0x0000FFFF,0x0000003F,0x00000000,3318,2586,732,409,292,62.28,84.59,84.95,95.21,113.00,113.46,NO,"driven, every FX engine live at Type 3  (the load); 15510 missed blocks"
d24,A_silent_default,"measured (anchor, S80 2026-09-20) [S82 SIGNED CONFIG 0xE2018E6F; the construction is anchored on the PRE-S82 rows, so the residual is the signing]",24,8,6,1,0x00FFFFFF,0x000000FF,0x00000003,5002,3989,1013,527,174,52.46,43.22,43.34,85.48,77.41,77.83,yes,"silent, the config the product boots with"
d24,B_silent_load,"measured (anchor, S80 2026-09-20) [S82 SIGNED CONFIG 0xE2018E6F; the construction is anchored on the PRE-S82 rows, so the residual is the signing]",24,8,6,1,0x00FFFFFF,0x000000FF,0x00000003,5002,3989,1013,527,174,74.50,57.50,57.50,94.30,84.27,84.73,yes,"silent, every assign/send open, dynamics at -60 dB"
d24,D_driven_fxoff,"measured (anchor, S27 2026-09-10 STALE)",24,8,6,1,0x00FFFFFF,0x000000FF,0x00000003,5002,3989,1013,527,174,59.91,59.91,60.27,64.38,64.38,64.61,yes,"driven, the FX engines OFF  (plain)"
d24,C_driven_load,"measured (anchor, S80 2026-09-20) [S82 SIGNED CONFIG 0xE2018E6F; the construction is anchored on the PRE-S82 rows, so the residual is the signing]",24,8,6,1,0x00FFFFFF,0x000000FF,0x00000003,5002,3989,1013,527,174,102.15,57.54,58.14,111.03,84.34,84.91,yes,"driven, every FX engine live at Type 3  (the load)"
d32,A_silent_default,"measured (anchor, S80 2026-09-20) [pre-S82 config 0xE2018264 — upper bound]",32,12,6,0,0xFFFFFFFF,0x00000FFF,0x0000000F,7014,5780,1234,699,2,66.99,72.05,72.39,102.17,105.62,106.04,NO,"silent, the config the product boots with; 7228 missed blocks"
d32,B_silent_load,"measured (anchor, S80 2026-09-20) [pre-S82 config 0xE2018264 — upper bound]",32,12,6,0,0xFFFFFFFF,0x00000FFF,0x0000000F,7014,5780,1234,699,2,97.34,106.70,107.19,114.81,118.90,119.25,NO,"silent, every assign/send open, dynamics at -60 dB; 29909 missed blocks"
d32,D_driven_fxoff,"measured (anchor, S27 2026-09-10 STALE)",32,12,6,0,0xFFFFFFFF,0x00000FFF,0x0000000F,7014,5780,1234,699,2,79.02,79.02,79.78,80.67,80.67,81.00,yes,"driven, the FX engines OFF  (plain)"
